"episode_id","slug","title","status","primary_channel","languages","last_updated"
"E039","part_2_infrastructure_episode_19","Part 2 Infrastructure Episode 19","migrated_auto","podcast","en","2026-02-24"
"E040","part_2_infrastructure_episode_20","Part 2 Infrastructure Episode 20","migrated_auto","podcast","en","2026-02-24"
"E041","part_2_infrastructure_episode_21","Part 2 Infrastructure Episode 21","migrated_auto","podcast","en","2026-02-24"
"E042","part_2_infrastructure_episode_22","Part 2 Infrastructure Episode 22","migrated_auto","podcast","en","2026-02-24"
"E043","part_2_infrastructure_episode_23","Part 2 Infrastructure Episode 23","migrated_auto","podcast","en","2026-02-24"
"E044","part_2_infrastructure_episode_24","Part 2 Infrastructure Episode 24","migrated_auto","podcast","en","2026-02-24"
"E045","part_3_advanced_topics_episode_1","Part 3 Advanced Topics Episode 1","migrated_auto","podcast","en","2026-02-24"
"E046","part_3_advanced_topics_episode_2","Part 3 Advanced Topics Episode 2","migrated_auto","podcast","en","2026-02-24"
"E047","part_3_advanced_topics_episode_3","Part 3 Advanced Topics Episode 3","migrated_auto","podcast","en","2026-02-24"
"E048","part_3_advanced_topics_episode_4","Part 3 Advanced Topics Episode 4","migrated_auto","podcast","en","2026-02-24"
"E049","part_3_advanced_topics_episode_5","Part 3 Advanced Topics Episode 5","migrated_auto","podcast","en","2026-02-24"
"E050","part_3_advanced_topics_episode_6","Part 3 Advanced Topics Episode 6","migrated_auto","podcast","en","2026-02-24"
"E051","part_3_advanced_topics_episode_7","Part 3 Advanced Topics Episode 7","migrated_auto","podcast","en","2026-02-24"
"E052","part_3_advanced_topics_episode_8","Part 3 Advanced Topics Episode 8","migrated_auto","podcast","en","2026-02-24"
"E053","part_3_advanced_topics_episode_9","Part 3 Advanced Topics Episode 9","migrated_auto","podcast","en","2026-02-24"
"E054","part_3_advanced_topics_episode_10","Part 3 Advanced Topics Episode 10","migrated_auto","podcast","en","2026-02-24"
"E055","part_3_advanced_topics_episode_11","Part 3 Advanced Topics Episode 11","migrated_auto","podcast","en","2026-02-24"
"E056","part_3_advanced_topics_episode_12","Part 3 Advanced Topics Episode 12","migrated_auto","podcast","en","2026-02-24"
"E057","part_3_advanced_topics_episode_13","Part 3 Advanced Topics Episode 13","migrated_auto","podcast","en","2026-02-24"
"E058","part_3_advanced_topics_episode_14","Part 3 Advanced Topics Episode 14","migrated_auto","podcast","en","2026-02-24"
"E059","part_3_advanced_topics_episode_15","Part 3 Advanced Topics Episode 15","migrated_auto","podcast","en","2026-02-24"
"E060","part_3_advanced_topics_episode_16","Part 3 Advanced Topics Episode 16","migrated_auto","podcast","en","2026-02-24"
"E061","part_3_advanced_topics_episode_17","Part 3 Advanced Topics Episode 17","migrated_auto","podcast","en","2026-02-24"
"E062","part_3_advanced_topics_episode_18","Part 3 Advanced Topics Episode 18","migrated_auto","podcast","en","2026-02-24"
"E063","part_3_advanced_topics_episode_19","Part 3 Advanced Topics Episode 19","migrated_auto","podcast","en","2026-02-24"
"E064","part_3_advanced_topics_episode_20","Part 3 Advanced Topics Episode 20","migrated_auto","podcast","en","2026-02-24"
"E065","part_3_advanced_topics_episode_21","Part 3 Advanced Topics Episode 21","migrated_auto","podcast","en","2026-02-24"
"E066","part_3_advanced_topics_episode_22","Part 3 Advanced Topics Episode 22","migrated_auto","podcast","en","2026-02-24"
"E067","part_3_advanced_topics_episode_23","Part 3 Advanced Topics Episode 23","migrated_auto","podcast","en","2026-02-24"
"E068","part_3_advanced_topics_episode_24","Part 3 Advanced Topics Episode 24","migrated_auto","podcast","en","2026-02-24"
"E069","part_4_professional_practice_episode_1","Part 4 Professional Practice Episode 1","migrated_auto","podcast","en","2026-02-24"
"E070","part_4_professional_practice_episode_2","Part 4 Professional Practice Episode 2","migrated_auto","podcast","en","2026-02-24"
"E071","part_4_professional_practice_episode_3","Part 4 Professional Practice Episode 3","migrated_auto","podcast","en","2026-02-24"
"E072","part_4_professional_practice_episode_4","Part 4 Professional Practice Episode 4","migrated_auto","podcast","en","2026-02-24"
"E073","part_4_professional_practice_episode_5","Part 4 Professional Practice Episode 5","migrated_auto","podcast","en","2026-02-24"
"E074","part_4_professional_practice_episode_6","Part 4 Professional Practice Episode 6","migrated_auto","podcast","en","2026-02-24"
"E075","part_4_professional_practice_episode_7","Part 4 Professional Practice Episode 7","migrated_auto","podcast","en","2026-02-24"
"E076","part_4_professional_practice_episode_8","Part 4 Professional Practice Episode 8","migrated_auto","podcast","en","2026-02-24"
"E077","part_4_professional_practice_episode_9","Part 4 Professional Practice Episode 9","migrated_auto","podcast","en","2026-02-24"
"E078","part_4_professional_practice_episode_10","Part 4 Professional Practice Episode 10","migrated_auto","podcast","en","2026-02-24"
"E079","part_4_professional_practice_episode_11","Part 4 Professional Practice Episode 11","migrated_auto","podcast","en","2026-02-24"
"E080","part_4_professional_practice_episode_12","Part 4 Professional Practice Episode 12","migrated_auto","podcast","en","2026-02-24"
"E081","part_4_professional_practice_episode_13","Part 4 Professional Practice Episode 13","migrated_auto","podcast","en","2026-02-24"
"E082","part_4_professional_practice_episode_14","Part 4 Professional Practice Episode 14","migrated_auto","podcast","en","2026-02-24"
"E083","part_4_professional_practice_episode_15","Part 4 Professional Practice Episode 15","migrated_auto","podcast","en","2026-02-24"
"E084","part_4_professional_practice_episode_16","Part 4 Professional Practice Episode 16","migrated_auto","podcast","en","2026-02-24"
"E085","part_4_professional_practice_episode_17","Part 4 Professional Practice Episode 17","migrated_auto","podcast","en","2026-02-24"
"E086","part_4_professional_practice_episode_18","Part 4 Professional Practice Episode 18","migrated_auto","podcast","en","2026-02-24"
"E087","part_4_professional_practice_episode_19","Part 4 Professional Practice Episode 19","migrated_auto","podcast","en","2026-02-24"
"E088","part_4_professional_practice_episode_20","Part 4 Professional Practice Episode 20","migrated_auto","podcast","en","2026-02-24"
"E089","part_4_professional_practice_episode_21","Part 4 Professional Practice Episode 21","migrated_auto","podcast","en","2026-02-24"
"E090","part_4_professional_practice_episode_22","Part 4 Professional Practice Episode 22","migrated_auto","podcast","en","2026-02-24"
"E091","part_4_professional_practice_episode_23","Part 4 Professional Practice Episode 23","migrated_auto","podcast","en","2026-02-24"
"E092","part_4_professional_practice_episode_24","Part 4 Professional Practice Episode 24","migrated_auto","podcast","en","2026-02-24"
"E093","part_4_professional_practice_episode_25","Part 4 Professional Practice Episode 25","migrated_auto","podcast","en","2026-02-24"
"E094","part_4_professional_practice_episode_26","Part 4 Professional Practice Episode 26","migrated_auto","podcast","en","2026-02-24"
"E095","part_4_professional_practice_episode_27","Part 4 Professional Practice Episode 27","migrated_auto","podcast","en","2026-02-24"
"E096","part_4_professional_practice_episode_28","Part 4 Professional Practice Episode 28","migrated_auto","podcast","en","2026-02-24"
"E097","appendix_reference_episode_1","Appendix Reference Episode 1","migrated_auto","podcast","en","2026-02-24"
"E098","appendix_reference_episode_2","Appendix Reference Episode 2","migrated_auto","podcast","en","2026-02-24"
"E099","appendix_reference_episode_3","Appendix Reference Episode 3","migrated_auto","podcast","en","2026-02-24"
"E100","appendix_reference_episode_4","Appendix Reference Episode 4","migrated_auto","podcast","en","2026-02-24"
"E101","appendix_reference_episode_5","Appendix Reference Episode 5","migrated_auto","podcast","en","2026-02-24"
"E102","appendix_reference_episode_6","Appendix Reference Episode 6","migrated_auto","podcast","en","2026-02-24"
"E103","appendix_reference_episode_7","Appendix Reference Episode 7","migrated_auto","podcast","en","2026-02-24"
"E104","appendix_reference_episode_8","Appendix Reference Episode 8","migrated_auto","podcast","en","2026-02-24"
"E105","appendix_reference_episode_9","Appendix Reference Episode 9","migrated_auto","podcast","en","2026-02-24"
"E106","appendix_reference_episode_10","Appendix Reference Episode 10","migrated_auto","podcast","en","2026-02-24"
"E107","appendix_reference_episode_11","Appendix Reference Episode 11","migrated_auto","podcast","en","2026-02-24"
"E108","appendix_reference_episode_12","Appendix Reference Episode 12","migrated_auto","podcast","en","2026-02-24"
"E109","appendix_reference_episode_13","Appendix Reference Episode 13","migrated_auto","podcast","en","2026-02-24"
"E110","appendix_reference_episode_14","Appendix Reference Episode 14","migrated_auto","podcast","en","2026-02-24"
"E111","appendix_reference_episode_15","Appendix Reference Episode 15","migrated_auto","podcast","en","2026-02-24"
"E112","appendix_reference_episode_16","Appendix Reference Episode 16","migrated_auto","podcast","en","2026-02-24"
"E113","appendix_reference_episode_17","Appendix Reference Episode 17","migrated_auto","podcast","en","2026-02-24"
"E114","appendix_reference_episode_18","Appendix Reference Episode 18","migrated_auto","podcast","en","2026-02-24"
"E115","appendix_reference_episode_19","Appendix Reference Episode 19","migrated_auto","podcast","en","2026-02-24"
"E116","appendix_reference_episode_20","Appendix Reference Episode 20","migrated_auto","podcast","en","2026-02-24"
"EP001","system_model","System Model","migrated_auto","podcast","en|fa","2026-02-24"
"EP002","sliding_surface_design","Sliding Surface Design","migrated_auto","podcast","en|fa","2026-02-24"
"EP003","controller_formulations","Controller Formulations","migrated_auto","podcast","en|fa","2026-02-24"
"EP004","pso_configuration","Pso Configuration","migrated_auto","podcast","en|fa","2026-02-24"
"EP005","lyapunov_stability","Lyapunov Stability","migrated_auto","podcast","en|fa","2026-02-24"
"EP006","monte_carlo_methodology","Monte Carlo Methodology","migrated_auto","podcast","en|fa","2026-02-24"
"EP007","statistical_analysis","Statistical Analysis","migrated_auto","podcast","en|fa","2026-02-24"
"EP008","boundary_layer_mt6","Boundary Layer Mt6","migrated_auto","podcast","en|fa","2026-02-24"
"EP009","robustness_analysis","Robustness Analysis","migrated_auto","podcast","en|fa","2026-02-24"
"EP010","cross_consistency","Cross Consistency","migrated_auto","podcast","en|fa","2026-02-24"
"EP011","missing_sections_and_additions","Missing Sections And Additions","migrated_auto","podcast","en|fa","2026-02-24"
"EP012","advisor_defense_qa","Advisor Defense Qa","migrated_auto","podcast","en|fa","2026-02-24"
